Dryleaf Arm Wraps,1.3,1.6,1,1,3.5,2.9,3.1,3.5,13,8,25,24,2,1.7
Gaius's Gauntlets,4.2,3.9,5,4.9,3.5,3.4,3.4,3.4,22,28,18,18,8,6.7
Oathseeker Knight Gauntlets,3.2,2.8,3.1,2.9,2.7,2.5,1.7,2.5,11,19,8,8,4,3.5
Verdigris Gauntlets,5.2,4.5,5,4.7,3.3,3.3,3.6,3.3,30,36,12,17,10,8.6
Iron Rivet Gauntlets,2.8,2.1,2.8,2.7,2.3,2.3,1.9,2.1,8,19,4,4,4,2.9
Thiollier's Gloves,2.1,2.1,1.7,1.7,1.9,2.3,2.7,2.5,24,9,21,13,3,2.4
High Priest Gloves,1.3,1.5,1,0.6,3.2,3.1,3.1,3.1,14,8,21,25,2,1.4
Braided Arm Wraps,1,0.6,0.6,0.1,3.1,2.5,2.8,3.2,12,5,34,19,1,0.8
Dancer's Bracer,1.3,1,1.6,1,3.2,3.2,3.1,3.1,14,8,21,22,1,1.4
Gauntlets of Night,1.7,1.7,1.9,1.9,3.1,2.3,2.3,3.1,18,11,15,15,3,2.4
Igon's Gauntlets,2.3,2.5,2.3,2.3,2.7,2.8,2.9,2.7,21,14,18,18,4,2.8
Ansbach's Manchettes,1.3,1.5,1.5,1,3.2,3.2,3.1,3.2,13,8,25,30,3,1.7
Freyja's Gauntlets,3.3,2.3,2.8,2.8,2.1,2.3,1.9,2.3,8,20,4,8,4,3.1
Gauntlets of Solitude,4.7,4.5,4.6,4.4,3.3,3.6,3.3,3.4,20,21,33,17,10,8
Messmer Soldier Gauntlets,2.9,2.3,2.9,2.8,1.9,2.3,1.6,1.9,8,15,6,6,4,2.9
Black Knight Gauntlets,3.6,3.1,3.6,4,3.1,3.2,2.7,2.8,14,22,8,8,6,4.6
Rakshasa Gauntlets,1.3,1,1.6,1.4,0.9,1.2,0.8,0.9,12,20,9,9,6,4.3
Fire Knight Gauntlets,3.2,2.5,2.9,2.7,2.3,2.9,1.7,2.1,9,15,7,8,4,3.1
Leather Arm Wraps,1.9,2.3,2.1,1.9,2.1,2.5,2.8,2.5,19,11,15,14,3,2.4
Death Knight Gauntlets,3.1,2.7,3.1,3.1,2.3,2.3,3.1,1.9,9,15,6,15,5,3.5
Ascetic's Wrist Guards,1.5,0.1,1.3,0.6,3.1,3.1,3.1,3.3,14,8,9,21,2,1.1
Messmer's Gauntlets,2.3,2.3,2.1,2.7,2.5,3.1,2.9,2.5,20,14,19,20,3,2.8
Gravebird Bracelets,1.6,1.7,1.7,1.5,2.1,1.9,2.3,2.3,17,8,13,12,3,1.7
Common Soldier Gauntlets,3.1,2.3,2.9,2.9,1.7,2.1,1.5,1.9,8,15,6,6,4,2.9
Horned Warrior Gauntlets,3.3,3.1,3.2,2.8,2.5,2.5,2.1,2.1,11,20,6,8,5,3.5
Divine Bird Warrior Gauntlets,3.3,3.1,3.1,2.9,2.7,2.5,1.9,2.1,12,18,7,8,5,3.5
Rellana's Gloves,3.3,2.9,3.5,3.2,3.1,2.9,2.3,2.7,12,19,8,8,5,3.9
Young Lion's Gauntlets,4.2,3.6,4.2,4.2,3.1,3.2,2.8,3.2,17,24,8,12,7,5
