Dane's Hat,1.8,2.3,1.4,1.4,5,4.2,4.5,5,16,11,33,31,3,2.2
Gaius's Helm,6.1,5.6,7.2,7,5,4.9,4.9,4.9,29,35,23,23,12,8.6
Oathseeker Knight Helm,4.4,3.8,4.2,4,3.6,3.4,2.3,3.4,12,21,10,9,7,4.4
Verdigris Helm,7.5,6.4,7.2,6.8,4.8,4.7,5.2,4.7,39,46,15,22,15,11.1
Pelt of Ralva,3.1,3.4,3.1,3.1,4.2,4,4.5,4,27,23,22,22,5,3.6
Fang Helm,2.3,2.5,2.3,2.3,3.6,3.4,4,3.4,23,18,16,16,4,2.7
Thiollier's Mask,4.4,3.4,4,3.8,2.3,3.1,2.3,3.1,15,16,11,0,6,3.8
High Priest Hat,1.8,2.1,1.4,0.9,4.6,4.5,4.4,4.5,18,10,27,33,3,1.7
Caterpillar Mask,1.8,1.4,1.4,0.9,4.5,3.8,4.2,4.6,16,9,45,25,2,1.4
Dancer's Hood,0.9,0.2,1.8,0.2,4.4,4.4,4,4.2,15,10,24,26,1,1
Helm of Night,2.5,2.5,2.8,2.8,4.4,3.4,3.4,4.5,23,14,20,20,4,3
Igon's Helm,3.1,3.4,3.1,3.1,3.6,3.8,4,3.6,26,16,22,22,5,3.3
Igon's Helm (Altered),2.8,3.1,2.8,2.8,3.4,3.6,3.8,3.4,24,15,20,20,5,3
Wise Man's Mask,4.2,3.6,4.4,4,3.1,4,2.3,3.1,11,24,9,10,7,4
Freyja's Helm,5.5,4.2,4.8,4.8,4,4.2,3.8,4.2,13,28,9,12,8,5.8
Helm of Solitude,6.8,6.4,6.7,6.3,4.7,5.2,4.8,4.9,26,27,42,22,14,10.3
Messmer Soldier Helm,4.4,3.6,4.4,4.2,3.1,3.6,2.5,3.1,12,22,9,9,7,4
Black Knight Helm,5.2,4.4,5.2,5.8,4.4,4.6,3.8,4,16,26,10,9,9,5.9
Rakshasa Helm,2.7,2.3,3.1,2.9,2.1,2.5,1.9,2.1,15,26,12,12,9,5.5
Fire Knight Helm,4.6,3.6,4.2,3.8,3.4,4.2,2.5,3.1,12,20,9,10,6,4
Death Mask Helm,4.3,3.3,3.9,3.5,3,3.9,2.2,2.7,10,16,7,9,6,3.4
Winged Serpent Helm,4.8,4,4.4,4,3.8,4.4,2.8,3.4,14,22,10,11,7,4.6
Salza's Hood,4.4,3.6,4.4,3.8,3.1,4,2.8,3.1,12,20,9,10,6,3.8
Leather Headband,1.4,2.1,1.8,1.4,1.8,2.3,2.8,2.3,16,10,12,11,2,1
Leather Crown,3.1,3.6,3.4,3.1,3.4,3.8,4.2,3.8,26,15,22,20,5,3.3
Death Knight Helm,4.4,3.8,4.4,4.4,3.4,3.4,4.4,2.8,12,20,8,20,7,4.6
Curseblade Mask,2.5,0.9,2.3,2.1,4.6,4.6,4.6,4.9,22,11,0,33,4,2.2
Messmer's Helm,3.4,3.4,3.1,3.8,3.6,4.4,4.2,3.6,26,18,24,26,5,3.6
Messmer's Helm (Altered),3.1,3.1,2.8,3.6,3.4,4.2,4,3.4,24,16,23,24,5,3.3
Gravebird Helm,3.4,3.6,3.6,3.1,4,3.8,4.2,4.2,24,14,21,20,6,3.6
Common Soldier Helm,4.4,3.4,4.2,4.2,2.5,3.1,2.1,2.8,11,20,8,8,6,3.8
Horned Warrior Helm,4.8,4.4,4.6,4,3.6,3.6,3.1,3.1,13,25,0,9,7,4.6
Divine Beast Helm,4.8,4.4,4.8,4.4,3.8,4,3.6,3.8,14,23,0,11,8,5.1
Divine Bird Helm,4.8,4.4,4.4,4.2,3.8,3.6,2.8,3.1,14,22,0,9,8,4.6
Rellana's Helm,4.8,4.2,5,4.6,4.5,4.2,3.4,3.8,15,24,10,10,8,5.1
Young Lion's Helm,6.1,5.2,6.1,6.1,4.4,4.6,4,4.6,22,31,11,15,10,6.4
Circlet of Light,2.8,3.1,2.5,2.8,2.8,3.1,3.4,3.4,23,14,15,20,5,1
Shadow Militiaman Helm,2.5,3.1,2.8,2.8,3.6,3.8,3.8,3.1,33,14,18,18,4,3
Divine Beast Head,7,5.9,6.7,6.8,4.9,7.2,4.6,4.9,29,26,0,24,13,10.6
St. Trina's Blossom,0.9,0.9,1.4,-0.8,4.4,3.8,4.4,4.4,12,4,24,24,2,1
Crucible Hammer-Helm,6.8,6.1,6.8,6.7,4.7,4.9,4.5,4.6,26,33,18,18,11,7.5
Greatjar,8,6.9,7.7,7.7,5.3,5.2,5.5,5.1,32,34,22,21,14,12.3
Imp Head (Lion),7,5.9,7,7,4.6,5.2,4.6,4.6,26,44,18,18,13,8.1
Alberich's Pointed Hat,1.8,1.4,1.8,1.8,4.6,4.2,4.4,4.6,16,10,29,31,2,1.7
Alberich's Pointed Hat (Altered),0.9,0.2,0.9,0.9,4.4,3.8,4,4.4,12,7,23,24,1,1
Albinauric Mask,4,3.1,4,3.8,2.5,3.1,2.1,2.5,12,23,10,10,5,3.8
All-Knowing Helm,4.6,4.2,4.8,4.2,4.4,3.4,3.6,3.1,12,20,9,9,7,4.6
Aristocrat Hat,3.1,3.1,2.8,3.1,3.8,4,3.8,3.1,22,14,18,20,4,3
Aristocrat Headband,1.9,1.9,1.9,1.6,4,3.6,3.8,4,15,10,25,22,2,1.2
Ash-of-War Scarab,-5.82,-5.6,-5.82,-5.82,-4.94,-4.94,-4.94,-5.05,42,22,27,26,6,5.1
Astrologer Hood,1.8,1.4,1.4,1.4,4.6,4.5,4.6,4.5,18,9,31,27,3,1.7
Azur's Glintstone Crown,2.8,2.3,2.5,2.5,5.8,4.6,4.7,5,23,14,44,39,4,3.6
Bandit Mask,2.8,3.1,3.1,3.1,3.1,3.4,3.6,3.1,30,14,14,16,4,3
Banished Knight Helm,6.8,5.4,7,6.3,4.8,4.8,4.6,4.7,26,35,16,18,11,7.5
Banished Knight Helm (Altered),6.7,5.2,6.8,6.1,4.7,4.7,4.6,4.6,21,30,13,14,11,7.1
Beast Champion Helm,6.3,5.9,6.8,6.7,4.6,4.9,4.6,4.8,24,39,18,16,11,7.5
Black Dumpling,2.8,3.1,2.8,2.8,3.1,3.4,3.6,3.1,24,15,0,20,4,2.7
Black Hood,2.8,3.1,3.1,3.1,3.1,3.4,3.6,3.1,33,16,16,18,4,3
Black Knife Hood,3.8,3.6,4.2,4.2,2.8,3.1,2.1,3.8,11,18,9,9,6,3.8
Black Wolf Mask,5.2,4.6,5.2,5.5,4,4.5,3.6,4.2,16,33,11,11,9,5.9
Blackflame Monk Hood,4.4,3.4,4.6,4.2,2.8,4.4,2.1,2.8,11,20,5,11,7,4
Blackguard's Iron Mask,5.8,4.4,6.1,5.5,4.2,4.4,4,4.5,22,31,12,12,9,6.2
Bloodhound Knight Helm,4.4,4,5,4.8,3.4,3.6,2.5,3.6,14,22,10,10,6,4.6
Bloodsoaked Mask,1.8,1.8,1.8,2.1,4.6,4.4,4.5,4.6,18,10,30,31,3,2.2
Blue Cloth Cowl,2.8,2.8,2.3,2.3,3.1,3.4,3.8,2.8,24,15,18,18,4,2.7
Blue Festive Hood,1.4,1.4,2.1,1.8,4.5,4,4.5,4.9,20,9,31,27,2,1.7
